La Révolution Française
Histoire
🏰

discovery;En quelle année la République est-elle proclamée ?;1792;1789;1799;1804;0;Après la victoire de Valmy la monarchie est abolie pour laisser place à la République.
discovery;Quelles sont les trois couleurs du drapeau révolutionnaire ?;Bleu blanc rouge;Rouge et noir;Bleu et jaune;Blanc et or;0;Le blanc du roi est entouré par le bleu et le rouge de la ville de Paris.
discovery;Qui est à la tête de l'État sous la monarchie absolue ?;Louis XVI;Napoléon;Robespierre;Lafayette;0;Avant 1789 le souverain détient tous les pouvoirs seul.
discovery;Quel mois de 1789 est marqué par la fin de la société d'ordres ?;Août;Juillet;Mai;Septembre;0;C'est le moment où les privilèges sont abolis par les députés.
discovery;Quel pays est le principal ennemi de la France en avril 1792 ?;L'Autriche;L'Angleterre;La Prusse;L'Espagne;0;L'Assemblée déclare la guerre à ce pays pour diffuser les idées de la Révolution.
easy;Comment appelle-t-on les révolutionnaires parisiens qui portent le pantalon ?;Les sans-culottes;Les jacobins;Les girondins;Les montagnards;0;Ils se distinguent des nobles qui portent la culotte courte.
easy;Dans quelle ville le Roi est-il arrêté lors de sa fuite en 1791 ?;Varennes;Metz;Strasbourg;Verdun;0;Louis XVI tentait de rejoindre des troupes à l'Est pour reprendre son pouvoir.
easy;Quel est le symbole de l'unité du peuple libéré ?;Le bonnet phrygien;La cocarde;L'écharpe tricolore;Le drapeau blanc;0;Il s'agit d'un bonnet rouge porté par les citoyens.
easy;Quel chant est créé pour défendre les valeurs révolutionnaires en 1792 ?;La Marseillaise;Le Chant du Départ;Ça ira;L'Internationale;0;Ce chant d'unité nationale est né pendant la mobilisation contre l'Autriche.
easy;Quelle fête célèbre l'unité des Français le 14 juillet 1790 ?;La Fête de la Fédération;La Fête Nationale;La Fête de la Liberté;La Fête du Roi;0;Elle a lieu un an après la prise de la Bastille en présence du Roi.
medium;Quelle structure administrative est créée en 1790 pour diviser la France ?;Les départements;Les régions;Les provinces;Les cantons;0;L'Assemblée crée ces zones pour mieux encadrer la population et maintenir l'ordre.
medium;Quelle force armée protège les maires des communes dès 1789 ?;La Garde nationale;L'armée royale;La milice;Les gendarmes;0;Cette force est chargée de maintenir l'ordre dans les nouvelles communes.
medium;Quelle assemblée est élue au suffrage universel masculin en 1792 ?;La Convention;L'Assemblée Législative;Les États généraux;Le Directoire;0;Cette nouvelle assemblée remplace l'Assemblée Législative après la chute du Roi.
medium;Qui dirige les nouvelles communes créées en 1789 ?;Le maire;Le préfet;L'intendant;Le seigneur;0;Ces responsables sont désormais élus par les citoyens de la commune.
medium;Comment appelle-t-on le vote où seuls les plus riches peuvent voter ?;Le suffrage censitaire;Le suffrage universel;Le vote aristocratique;L'élection directe;0;Dans ce système il faut payer un impôt pour être électeur.
hard;Combien de temps dure le droit de veto du Roi selon la Constitution ?;4 ans;2 ans;6 ans;Illimité;0;Le Roi peut suspendre l'application d'une loi mais pas l'annuler définitivement.
hard;Qu'est-ce que l'État nationalise en 1789 pour payer ses dettes ?;Les biens du clergé;Les châteaux;Les usines;Les banques;0;L'Assemblée saisit ces richesses pour les revendre à la bourgeoisie.
hard;Comment appelle-t-on les prêtres qui doivent prêter serment à l'État ?;Les prêtres jureurs;Les prêtres réfractaires;Les curés royaux;Les abbés constitutionnels;0;La Constitution civile du clergé transforme les religieux en fonctionnaires.
hard;Quelle classe sociale s'enrichit en rachetant les terres de l'Église ?;La bourgeoisie;La noblesse;Les paysans;Les artisans;0;Avec la noblesse restée en France ils profitent de la vente des biens nationaux.
hard;Sur quelle question l'Assemblée se divise-t-elle après Varennes ?;Le sort de la Constitution;La guerre;La mort du Roi;La religion;0;Le départ du Roi pose problème pour la survie du nouveau régime.
expert;Combien de Français sont des citoyens actifs en 1791 ?;4.4 millions;10 millions;1 million;28 millions;0;Sur 28 millions d'habitants seule une petite partie possède le droit de vote.
expert;Quelle est la date exacte de la prise du palais des Tuileries ?;10 août 1792;14 juillet 1789;21 janvier 1793;9 thermidor an II;0;C'est le jour où le peuple parisien emprisonne la famille royale.
expert;Quelle est la première grande victoire de l'armée révolutionnaire ?;Valmy;Jemappes;Fleurus;Austerlitz;0;Cette bataille a lieu le 20 septembre 1792 juste avant la République.
expert;Combien de députés composent l'Assemblée Législative de 1791 ?;745 députés;500 députés;1000 députés;300 députés;0;Ces députés sont élus pour une durée de deux ans.
expert;Quel pays rejoint l'Autriche et la Prusse contre la France en 1792 ?;L'Angleterre;L'Espagne;La Russie;Les Pays-Bas;0;Ces trois puissances craignent la diffusion des idées révolutionnaires.
challenge;À quel pays le Roi se compare-t-il car il se sent sous contrôle ?;L'Angleterre;Les États-Unis;La Hollande;La Suisse;0;Le Roi est déçu par la Constitution car elle limite son pouvoir exécutif.
challenge;À quel pays le peuple se compare-t-il car il se sent exclu du vote ?;L'Amérique;L'Angleterre;La Suisse;La Pologne;0;Les citoyens sont déçus car le suffrage censitaire favorise les riches.
challenge;Quel impôt faut-il payer pour être considéré comme citoyen actif ?;Le cens;La taille;La gabelle;La dîme;0;Le nom du suffrage censitaire vient directement du nom de cette taxe.
challenge;Combien d'électeurs sont choisis par les citoyens actifs en 1791 ?;45 000 hommes;100 000 hommes;10 000 hommes;1 million d'hommes;0;Ces hommes forment le second niveau du système de vote avant les députés.
challenge;Quel groupe de nobles quitte la France et refuse la fin des privilèges ?;Les émigrés;Les girondins;Les feuillants;Les jacobins;0;Ils s'installent à l'étranger et s'opposent à la vente des biens du clergé.
challenge;Qui partage le pouvoir exécutif avec le Roi en 1791 ?;Des fonctionnaires élus;L'Assemblée;Les ministres royaux;Les nobles;0;Le Roi n'est plus seul à diriger l'administration de l'État.
